,Model,Mileage in mi,Dealer Name,Rating,Rating Count,Price in $,Brand Name,Year
753,"['XT6', 'Premium', 'Luxury', 'FWD']","44,109 mi.",Mark Christopher Chevrolet Buick GMC Cadillac,4.4,7389,"$43,333", Cadillac,2020
754,"['CT4', 'Premium', 'Luxury']","1,124 mi.",Randy Marion Chevrolet Buick of Mooresville,4.4,266,"$36,988", Cadillac,2020
755,"['XT6', 'Premium', 'Luxury', 'FWD']","31,791 mi.",John Elway Cadillac,4.8,287,"$47,000", Cadillac,2020
756,"['CT5', 'Luxury', 'RWD']","30,436 mi.",Baker Buick GMC Cadillac,4.6,203,"$36,495", Cadillac,2020
757,"['CT6', '2.0L', 'Turbo', 'Luxury']","36,619 mi.",Cadillac of Las Vegas,4.7,299,"$38,998", Cadillac,2018
758,"['XT4', 'Sport']","23,164 mi.",Boucher Cadillac of Waukesha,4.7,545,"$39,985", Cadillac,2020
759,"['XT4', 'Premium', 'Luxury']","32,521 mi.",Tom Kelley Cadillac,4.9,436,"$33,908", Cadillac,2020
760,"['CT4', 'Sport']","5,949 mi.",Key Chevrolet Buick GMC Cadillac of Burlington,4.4,168,"$42,818", Cadillac,2021
761,"['ATS', '2.0L', 'Turbo']","12,715 mi.",Ocean Cadillac,4.6,803,"$30,500", Cadillac,2019
762,"['CT4-V', 'V-Series']","2,185 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$54,900", Cadillac,2022
763,"['XT4', 'Sport']","59,143 mi.",Corwin Motors Kalispell,4.7,143,"$34,713", Cadillac,2019
764,"['Escalade', 'ESV', 'Platinum']","46,188 mi.",John Elway Cadillac,4.8,287,"$63,484", Cadillac,2018
765,"['CT6', 'Luxury']","16,781 mi.",Robert Basil Buick GMC Cadillac,4.5,236,"$59,916", Cadillac,2020
766,"['CT5', 'Luxury', 'RWD']","10,811 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$39,991", Cadillac,2021
767,"['CT4', 'Luxury']","4,988 mi.",Crest Auto Group,4.5,565,"$37,465", Cadillac,2022
768,"['Escalade', 'ESV', 'Premium', 'Luxury']","39,558 mi.",Royal Buick GMC Cadillac Tucson,4.9,1494,"$69,990", Cadillac,2020
769,"['ATS', '2.0L', 'Turbo', 'Luxury']","23,875 mi.",Paul Conte Cadillac,4.8,1385,"$34,995", Cadillac,2019
770,"['CTS', '2.0L', 'Turbo', 'Luxury']","32,992 mi.",Cole Valley Cadillac,4.6,133,"$34,777", Cadillac,2019
771,"['ATS', '2.0L', 'Turbo', 'Luxury']","16,660 mi.",Big Star Cadillac,4.8,886,"$27,999", Cadillac,2018
772,"['CT4', 'V-Series']","24,554 mi.",Red Noland Cadillac,,0,"$48,489", Cadillac,2020
773,"['XT6', 'Premium', 'Luxury', 'FWD']","31,791 mi.",John Elway Cadillac,4.8,287,"$47,000", Cadillac,2020
774,"['XT6', 'Premium', 'Luxury', 'FWD']","44,109 mi.",Mark Christopher Chevrolet Buick GMC Cadillac,4.4,7389,"$43,333", Cadillac,2020
775,"['CT5', 'Premium', 'Luxury', 'RWD']","1,538 mi.",Lone Star Cadillac,4.3,303,"$49,219", Cadillac,2022
776,"['CT4', 'Premium', 'Luxury']","1,124 mi.",Randy Marion Chevrolet Buick of Mooresville,4.4,266,"$36,988", Cadillac,2020
777,"['CT5', 'Luxury', 'RWD']","30,436 mi.",Baker Buick GMC Cadillac,4.6,203,"$36,495", Cadillac,2020
778,"['XT4', 'Sport']","23,164 mi.",Boucher Cadillac of Waukesha,4.7,545,"$39,985", Cadillac,2020
779,"['XT4', 'Premium', 'Luxury']","32,521 mi.",Tom Kelley Cadillac,4.9,436,"$33,908", Cadillac,2020
780,"['CT6', '2.0L', 'Turbo', 'Luxury']","36,619 mi.",Cadillac of Las Vegas,4.7,299,"$38,998", Cadillac,2018
781,"['CT4', 'Sport']","5,949 mi.",Key Chevrolet Buick GMC Cadillac of Burlington,4.4,168,"$42,818", Cadillac,2021
782,"['ATS', '2.0L', 'Turbo']","12,715 mi.",Ocean Cadillac,4.6,803,"$30,500", Cadillac,2019
783,"['XT4', 'Sport']","59,143 mi.",Corwin Motors Kalispell,4.7,143,"$34,713", Cadillac,2019
784,"['CT4-V', 'V-Series']","2,185 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$54,900", Cadillac,2022
785,"['CT6', 'Luxury']","16,781 mi.",Robert Basil Buick GMC Cadillac,4.5,236,"$59,916", Cadillac,2020
786,"['Escalade', 'ESV', 'Platinum']","46,188 mi.",John Elway Cadillac,4.8,287,"$63,484", Cadillac,2018
787,"['CT5', 'Luxury', 'RWD']","10,811 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$39,991", Cadillac,2021
788,"['Escalade', 'ESV', 'Premium', 'Luxury']","39,558 mi.",Royal Buick GMC Cadillac Tucson,4.9,1494,"$69,990", Cadillac,2020
789,"['CT4', 'Luxury']","4,988 mi.",Crest Auto Group,4.5,565,"$37,465", Cadillac,2022
790,"['ATS', '2.0L', 'Turbo', 'Luxury']","23,875 mi.",Paul Conte Cadillac,4.8,1385,"$34,995", Cadillac,2019
791,"['CTS', '2.0L', 'Turbo', 'Luxury']","32,992 mi.",Cole Valley Cadillac,4.6,133,"$34,777", Cadillac,2019
792,"['ATS', '2.0L', 'Turbo', 'Luxury']","16,660 mi.",Big Star Cadillac,4.8,886,"$27,999", Cadillac,2018
793,"['XT6', 'Premium', 'Luxury', 'AWD']","26,111 mi.",Red Noland Cadillac,,0,"$53,989", Cadillac,2020
794,"['XT6', 'Premium', 'Luxury', 'FWD']","31,791 mi.",John Elway Cadillac,4.8,287,"$47,000", Cadillac,2020
795,"['XT6', 'Premium', 'Luxury', 'FWD']","44,109 mi.",Mark Christopher Chevrolet Buick GMC Cadillac,4.4,7389,"$43,333", Cadillac,2020
796,"['CT5', 'Premium', 'Luxury', 'RWD']","1,538 mi.",Lone Star Cadillac,4.3,303,"$49,219", Cadillac,2022
797,"['CT4', 'Premium', 'Luxury']","1,124 mi.",Randy Marion Chevrolet Buick of Mooresville,4.4,266,"$36,988", Cadillac,2020
798,"['CT5', 'Luxury', 'RWD']","30,436 mi.",Baker Buick GMC Cadillac,4.6,203,"$36,495", Cadillac,2020
799,"['XT4', 'Sport']","23,164 mi.",Boucher Cadillac of Waukesha,4.7,545,"$39,985", Cadillac,2020
800,"['CT4', 'Sport']","5,949 mi.",Key Chevrolet Buick GMC Cadillac of Burlington,4.4,168,"$42,818", Cadillac,2021
801,"['CT6', '2.0L', 'Turbo', 'Luxury']","36,619 mi.",Cadillac of Las Vegas,4.7,299,"$38,998", Cadillac,2018
802,"['XT4', 'Premium', 'Luxury']","32,521 mi.",Tom Kelley Cadillac,4.9,436,"$33,908", Cadillac,2020
803,"['ATS', '2.0L', 'Turbo']","12,715 mi.",Ocean Cadillac,4.6,803,"$30,500", Cadillac,2019
804,"['XT4', 'Sport']","59,143 mi.",Corwin Motors Kalispell,4.7,143,"$34,713", Cadillac,2019
805,"['CT4-V', 'V-Series']","2,185 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$54,900", Cadillac,2022
806,"['CT6', 'Luxury']","16,781 mi.",Robert Basil Buick GMC Cadillac,4.5,236,"$59,916", Cadillac,2020
807,"['Escalade', 'ESV', 'Platinum']","46,188 mi.",John Elway Cadillac,4.8,287,"$63,484", Cadillac,2018
808,"['CT5', 'Luxury', 'RWD']","10,811 mi.","Delaware Cadillac, Subaru, Kia",4.8,962,"$39,991", Cadillac,2021
